Labels,Translation,Decision
"Flower, Textile, Plant, Magenta, Crocus, Perennial plant",Turkey opens the largest flower carpet in the world in the Sultan Ahmed area in Istanbul with half a million flowers # Jerusalem_ Newspaper # Palestine # Turkey # Varieties,real
EMPTY,"Pictures from the honey harvest season in Khan Yunis, southern Gaza Strip # Al-Quds Newspaper # Palestine # Honey_ # Photo",real
"Guru, Moustache","The UAE opens the Ministry of the Impossible, a ministry without a minister that provides proactive services to the public and works to discover the talents of every child in the Emirates",real
"Room, Building, Interior design, Ruins, Still life photography","The Palestinian Marwan Shahwan from the city of Khan Younis has owned an ancient archaeological museum for 35 years, inside which there are artifacts dating back more than 4 thousand years. Photo: Maryam Abu Daqqa # Al-Quds Newspaper # Palestine # Gaza # Archaeological Museum",real
"Wall, Architecture, Sky, Building, Historic site, Arch, Ancient history, History, Ruins, Tree",Sunset from the blessed Al-Aqsa Mosque # Al-Quds Newspaper # Palestine # Al-Aqsa Mosque,fake
"Architecture, Floor, Flooring, Iron, Building, Tile, Metal, City, Place of worship, Door","In preparation for entering the month of Ramadan ... changing the brushes of the entire Prophet’s Mosque and replacing it with new carpets, which number more than 20 thousand rugs. # Al-Quds Newspaper # Palestine # Al-Nabawi Mosque # Photo Today",real
"Grass, Hill, Hill station, Photography, Landscape, Tourism, Terrain",The Samaritans pilgrimage to the summit of Mount Gerizim in Nablus at the end of the Eid Al-Fessah ... # Jerusalem newspaper # Palestine # Samaritans,real
"Naan, Bread, Food, Cuisine, Flatbread, Baked goods, Chapati, Dish, Finger food, Indian cuisine",Good morning and activity ... Palestinian women enumerating managish on wood # Jerusalem newspaper # Palestine # manakish # nature # food,real
"White, Vehicle, Car, Automotive design, Luxury vehicle, Snapshot, Mid-size car, Formal wear, Headlamp, Automotive exterior",A Libyan citizen celebrates his son who has completely preserved the Holy Quran and provides him with a car as a gift for him # Al-Quds Newspaper # Palestine # Libya,real
"Social group, Crowd, Tourism, Event, Tree, Leisure",Friday prayers from the blessed Al-Aqsa Mosque .. # Al-Quds Newspaper # Palestine # Al-Aqsa Mosque # Friday Prayer,real
"Food, Dish, Cuisine, Vegetarian food",A side of the cheese storage season in Palestine ... # Al-Quds Newspaper # Palestine # Al-Nabulsiyah Cheese # Food,real
"Businessperson, Event, White-collar worker, Speech, Public speaking, Business, Official, Conversation",New Zealand .. Prince William visits the two mosques and meet with survivors ... # Al-Quds Newspaper # Palestine # Prince_William,real
"Wall, Art, Visual arts, Room, Photography, Mural, Street art","On the rubble of one of the buildings destroyed by the Israeli raids in Gaza, the Palestinian artist Ali al-Jabali painted 10 paintings that the dreamers called among the rubble .. Ali says that he is trying to express through his paintings the reality and suffering of the Palestinians to highlight their difficult conditions in Gaza because of the Israeli siege .. # Al-Quds newspaper # Palestine # Gaza #today's picture",real
"Musical instrument, Music, Musician, String instrument, Plucked string instruments",Good Friday # Al-Quds Newspaper # Palestine # Jerusalem # Easter,real
"Event, News, Television program, Performance",When the Korean and Russian leaders meet ... this is how Putin's and Kim's gifts level !! # Al-Quds Newspaper # Palestine # Korea # Russia # Putin # Kim,real
"Clothing, White, Dress, Sleeve, Shoulder, Neck, Brown, Fashion, Pattern, Pattern","Some shocking, funny, or strange celebrity outfits, this little girl stands out! Australian Riley, 9 years, wore this fashion with simple household items with the help of her parents .. # Al-Quds Newspaper # Miscellaneous # Australia # Photo_Today",real
"Sky, Natural landscape, Nature, Cloud, Blue, Vegetation, Daytime, Cumulus, Tree, Natural environment",Nature between the cities of Nablus and Jenin # The Jerusalem newspaper # Palestine # Spring # Nature # Jenin # Nablus,fake
"Soil, Tree, Community, Arbor day, Plantation, Adaptation, Woody plant, Plant, Grass, Rural area",Hundreds of volunteers participate in cleaning and restoration work for the blessed gardens and gardens of the blessed Al-Aqsa Mosque before Ramadan .. Photo: Muhammad Karout Adkidik # Al-Quds Newspaper # Palestine # Al-Aqsa # Month_ Ramadan,real
"Field, Straw, Grass family, Agriculture, Crop, Wheat, Plant, Adaptation, Farmer, Grass","Citizens harvest wheat in Khan Yunis, southern Gaza Strip ... # Jerusalem newspaper # Palestine # wheat harvest # Gaza",real
"Crowd, Audience, City, Auditorium, Architecture, Event, Building, Stage, Mecca, Performing arts center","Fajr prayer today from the Shamlija Mosque in Istanbul, which is considered the largest in Turkey ... # Jerusalem_ newspaper # Palestine # Turkey # Fajr prayer",real
"Marketplace, Selling, Market, Public space, Bazaar, Flea market, Human settlement, City, Stall, Hawker",The Netherlands celebrates its National Day has the King's Day which falls on the twenty-ninth of April # Jerusalem_ Newspaper # Palestine # Netherlands # April,fake
"Natural landscape, Mountain range, Mountain, Mountainous landforms, Lake, Highland, Hill station, Tourism, Mount scenery, Alps","Spring on the island of Akdemar, located in the lake and far east # Turkey. # Al-Quds Newspaper # Palestine # Spring # Turkey",fake
"Temple, Pedestrian, Street",Cairo markets are preparing to receive the holy month of Ramadan # Al-Quds newspaper # Palestine # Ramadan # Egypt,real
"Sky, Roof, Architecture, Blue-collar worker, Rope",Part of the work to clean the Dome of the Rock to receive the holy month of Ramadan # Al-Quds Newspaper,real
"Suit, Formal wear, Event, Tuxedo",The Emperor of Japan announces abdication from the throne from today to be the first Japanese Emperor in two centuries to abdicate his throne while he is alive # Al-Quds newspaper,real
"Arch, Alley, Street, Town, Architecture, Medieval architecture, Neighbourhood, Building, Wall, Cobblestone",The old city streets of Nablus ... # Jerusalem_ Newspaper # Palestine # Civilization # Nablus,real
"Sports, Disabled sports, Wheelchair sports, Wheelchair, Wheelchair racing, Recreation, Individual sports, Wheelchair rugby, Endurance sports, Wheelchair basketball","London Marathon kicks off 2019 The London Marathon kicks off amid large participation from all over the world and the Kenyan Kipchog broke his record number 42,195 km. Kipchog, 34, scored two hours, two minutes and 37 seconds late, just about a minute away from the world record of two hours, one minute and 39 seconds, which was achieved in Berlin last September. # Al-Quds Newspaper",real
"Bird, Vertebrate, Ibis, Beak, Pelecaniformes, Crane-like bird, Wildlife, Heron, Ciconiiformes, Crane",Wonderful pictures of wildlife in Palestine as you have not seen before .. some of them are in the natural reserve in the upper Zarqa Valley in the village of Deir Ghassana northwest of Ramallah and some are in the diverse nature of Palestine .. Have you ever seen this beauty throughout Palestine? Photography: Muhammad Al-Shuaibi / Al-Fajr TV,real
"Stairs, Architecture, Bridge, Tree, Roof, Plant, Nonbuilding structure, House","On Christmas Island in Australia, they made bridges to crabs so that vehicles would not crush them during their mass migration .. # Al-Quds Newspaper # Palestine # Australia # Christmas_Christmas # Nature # Photo_Today",real
"Brass instrument, Musical instrument, Marching band, Wind instrument, Musician, Trombone, Cornet, Types of trombone, Marching, Trumpeter",A military parade in Ramallah on the sidelines of the launch of the Arab Traffic Week .. With a lens: Bahaa Nasr # Jerusalem newspaper # Palestine # Traffic week # Ramallah,real
"People, Public space, Community, Crowd, Urban design, Event, Campus, City, Residential area, Ceremony","At the University of Tel Aviv, and after the university administration continued to close the only chapel in it for the day 99, students performed prayer in its courtyards, rejecting the racist decision ... # Al-Quds Newspaper # Palestine # Prayer",fake
"Dish, Food, Cuisine, Meal, Brunch, Ingredient, Lunch, Meze, Dinner, Vegetarian food",Friday blessing our followers What did you choose for breakfast today .. especially it is the last Friday before the blessed month of Ramadan # Al-Quds Newspaper # Palestine # Friday_ blessing # food,real
"Food, Cuisine, Dish, Junk food, Snack, Street food",Ramadan is approaching ... The season of Al-Qatayef sweets ... # Al-Feddas newspaper # Palestine # Al-Qatayef # Ramadan # food,real
"People, Crowd, Event, Tourism","Opening of the largest mosque in Istanbul, the Shamlica Mosque, in the presence of Turkish President Recep Tayyip # Erdogan",real
"Lighting, Event, Fun, Festival, Crowd, Tradition, Fête, Night",The Old City of Nablus receives the blessed month of Ramadan with the illumination of 200 lanterns. Photography: Ayman Nobani / Wafa,fake
"Porcupine fishes, Boxfishes and trunkfish, Fish, Fugu, Blowfish, Organism, Marine biology, Striped Burrfish, Underwater, Trunkfish",Alien cities and creatures ... strangest things found in the depths of the sea,real
"People, Product, Community, Leisure, Child, Tree, Recreation, Team, Vacation, Plant",Overwhelming happiness on the faces of a group of young monks during their visit to the theme park in South Korea # Today_photos,real
Window,The weirdest coronation habits .. This is how the Thai crowns their new king ... with a cat and a white cock and a green pumpkin tray!,real
"Street performance, Tourism, Street, Sitting, Event, Road, City, Crowd, Art",Activity cleaning the old country in Nablus. Photography: Uday Yaish,real
"Bazaar, Public space, Market, Human settlement, City, World, Tourism, Building, Metal","Morning tour of Marrakech's most famous and oldest markets in Morocco, surely touring it will be a nice and enjoyable experience for everyone who intends to visit Morocco this summer. # Al-Quds Newspaper # Palestine # Morocco # Photo_ Today",real
"People, Social group, Youth, Community, Mural, Event, Team, Tourism, Tree, Art","Signing an agreement to provide the local committee for the rehabilitation of people with special needs in Askar with a Mercedes bus, funded by the French Solidarity Society with Palestine.",real
"Land vehicle, Vehicle, Car, Motor vehicle, Classic car, Coupé, Subcompact car, Compact car, Sedan, Vintage car",A Jordanian youth creates a new way with his vehicle to be a source of livelihood ... # Jerusalem_ Newspaper # Palestine # Jordan # Photo_Today,real
"Red, Sports, Running, Recreation, Athlete, Muscle, Human, Individual sports, Physical fitness, Exercise","She collapses from stress and loses sight of it for a short time, but she continues to the creeping finish line .. This is what the famous runner Harley Carothers did in the recent London Marathon # Jerusalem newspaper # Palestine # Harley_Charothers # London",real
"Architecture, Wall, Building, Urban design, Art, Photography, Facade, Sculpture, City, Rock",Nablus between the past and the present ... Idea and portrayal of Uday,fake
"Pedestrian, Street, Vehicle, Neighbourhood, Road, Building, Car, Family car, Shopping, Downtown",Market Street before breakfast in # Balata camp,real
